,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-10-19 04:00:00+00:00,26.67,0.003386004514672747,73.18,-0.0036759700476514112,31.82,0.010158730158730256,104.37,-0.000861573808156102,82.95,-0.00060240963855418
2018-10-22 04:00:00+00:00,26.1,-0.021372328458942658,72.93,-0.0034162339437004974,31.37,-0.014142049025769987,104.35,-0.0001916259461531844,82.93,-0.00024110910186858625
2018-10-23 04:00:00+00:00,25.9,-0.00766283524904221,71.73,-0.016454134101193008,31.57,0.006375518010838466,104.48,0.0012458073790129198,82.98,0.0006029181237188208
2018-10-24 04:00:00+00:00,25.22,-0.026254826254826225,69.3,-0.03387703889585958,31.94,0.011719987329743553,104.75,0.0025842266462481334,83.11,0.001566642564473364
2018-10-25 04:00:00+00:00,25.63,0.01625693893735125,69.79,0.007070707070707227,32.32,0.01189730745147144,104.66,-0.0008591885441527891,83.08,-0.00036096739261226585
2018-10-26 04:00:00+00:00,25.26,-0.014436207569254678,69.1,-0.009886803266943911,31.48,-0.025990099009901013,104.9,0.002293139690426216,83.13,0.0006018295618679392
2018-10-29 04:00:00+00:00,25.48,0.0087094220110846,67.96,-0.016497829232995698,32.0,0.016518424396442244,104.79,-0.0010486177311724854,83.16,0.00036088054853844476
2018-10-30 04:00:00+00:00,25.92,0.017268445839874413,69.35,0.02045320776927606,32.53,0.016562500000000036,104.64,-0.0014314342971658567,83.12,-0.00048100048100041537
2018-10-31 04:00:00+00:00,26.27,0.013503086419752952,69.88,0.007642393655371338,32.09,-0.013525976022133346,104.59,-0.0004778287461773001,83.08,-0.0004812319538017862
2018-11-01 04:00:00+00:00,26.4,0.004948610582413471,71.11,0.01760160274756739,32.21,0.0037394827048924384,104.34,-0.002390285878191012,82.98,-0.0012036591237361005
2018-11-02 04:00:00+00:00,26.38,-0.0007575757575757347,70.97,-0.001968780762199418,31.94,-0.008382489909965818,104.03,-0.00297105616254556,82.88,-0.0012051096649796644
2018-11-05 05:00:00+00:00,26.78,0.015163002274450443,71.33,0.005072565872904056,32.47,0.01659361302442064,104.1,0.0006728828222626326,82.91,0.0003619691119691737
2018-11-06 05:00:00+00:00,26.94,0.005974607916355401,72.11,0.010935090424786242,32.65,0.005543578688019801,104.11,9.606147934682063e-05,82.89,-0.00024122542515980783
2018-11-07 05:00:00+00:00,27.29,0.0129918337045285,73.28,0.01622521148245748,33.01,0.011026033690658466,104.2,0.0008644702718278996,82.86,-0.0003619254433586683
2018-11-08 05:00:00+00:00,27.37,0.0029314767314034818,73.16,-0.0016375545851529116,33.08,0.002120569524386662,104.01,-0.001823416506717801,82.85,-0.00012068549360377823
2018-11-09 05:00:00+00:00,27.12,-0.009134088417975916,72.42,-0.010114816839803087,33.12,0.0012091898428052694,104.14,0.0012498798192481786,82.89,0.00048280024140012756
2018-11-12 05:00:00+00:00,26.58,-0.019911504424778848,70.99,-0.019745926539630032,33.19,0.002113526570048263,104.31,0.0016324178989821636,82.95,0.0007238508867173366
2018-11-13 05:00:00+00:00,26.73,0.0056433408577878375,71.31,0.004507677137625121,33.26,0.0021090689966858367,104.35,0.0003834723420572672,82.96,0.0001205545509341821
2018-11-14 05:00:00+00:00,26.37,-0.013468013468013407,71.07,-0.0033655868742112904,33.25,-0.00030066145520135645,104.36,9.583133684709644e-05,83.02,0.0007232401157184487
2018-11-15 05:00:00+00:00,26.76,0.014789533560864543,72.01,0.013226396510482852,32.99,-0.007819548872180393,104.49,0.0012456880030662365,83.06,0.00048181161165983255
2018-11-16 05:00:00+00:00,26.79,0.0011210762331836932,71.99,-0.0002777392028886494,33.46,0.014246741436799049,104.66,0.001626949947363343,83.12,0.0007223693715385782
2018-11-19 05:00:00+00:00,26.78,-0.0003732736095557465,70.85,-0.015835532712876743,33.55,0.0026897788404063316,104.65,-9.554748710105532e-05,83.19,0.0008421559191529315
2018-11-20 05:00:00+00:00,26.19,-0.022031366691560805,69.38,-0.020748059280169318,33.11,-0.013114754098360604,104.61,-0.0003822264691830668,83.17,-0.00024041351123926802
2018-11-21 05:00:00+00:00,26.21,0.0007636502481862539,69.87,0.007062554050158765,33.09,-0.000604047115674855,104.67,0.0005735589331803403,83.17,0.0
2018-11-23 05:00:00+00:00,26.0,-0.008012209080503707,69.73,-0.002003721196507824,32.97,-0.0036264732547598433,104.65,-0.00019107671730200781,83.15,-0.0002404713237945666
2018-11-26 05:00:00+00:00,26.53,0.020384615384615445,70.28,0.007887566327262174,33.04,0.002123142250530785,104.63,-0.00019111323459164442,83.16,0.00012026458208036495
2018-11-27 05:00:00+00:00,26.55,0.0007538635506973979,70.12,-0.0022766078542970636,33.22,0.005447941888619745,104.66,0.0002867246487623376,83.17,0.00012025012025018711
2018-11-28 05:00:00+00:00,27.06,0.019209039548022444,71.8,0.023958927552766518,33.49,0.008127633955448577,104.86,0.0019109497420217725,83.2,0.0003607069856919054
2018-11-29 05:00:00+00:00,26.83,-0.008499630450850004,71.82,0.00027855153203337757,33.53,0.0011943863839951607,104.91,0.0004768262445165039,83.22,0.00024038461538467004
2018-11-30 05:00:00+00:00,26.97,0.005218039508013472,72.54,0.010025062656641825,33.85,0.009543692215925992,104.88,-0.0002859593937660776,83.25,0.00036049026676288065
2018-12-03 05:00:00+00:00,27.14,0.006303299962921782,73.4,0.011855527984560243,34.01,0.0047267355982274495,104.8,-0.0007627765064835978,83.04,-0.0025225225225224968
